연번,호선,고유역번호(외부역코드),수송연월,하차인원수,자치구,호선역
446,5,2552,44614,194390,강동구,명일(5)
447,5,2553,44614,201021,강동구,고덕(5)
448,5,2554,44614,300631,강동구,상일동(5)
449,5,2555,44614,190787,강동구,둔촌동(5)
450,5,2556,44614,77513,송파구,올림픽공원(5)
451,5,2557,44614,161264,송파구,방이(5)
452,5,2558,44614,76027,송파구,오금(5)
453,5,2559,44614,144811,송파구,개롱(5)
454,5,2560,44614,193790,송파구,거여(5)
455,5,2561,44614,151982,송파구,마천(5)
456,5,2562,44614,84370,강동구,강일(5)
457,5,2563,44614,349904,하남시,미사(5)
458,5,2564,44614,91285,하남시,하남풍산(5)
459,5,2565,44614,142662,하남시,하남시청(5)
460,5,2566,44614,127954,하남시,하남검단산(5)
461,6,2611,44614,388101,은평구,응암(6)
462,6,2612,44614,101441,은평구,역촌(6)
463,6,2613,44614,94213,은평구,불광(6)
464,6,2614,44614,64932,은평구,독바위(6)
465,6,2616,44614,127746,은평구,구산(6)
466,6,2617,44614,260179,은평구,새절(6)
467,6,2618,44614,223567,은평구,증산(6)
468,6,2619,44614,306134,은평구,디지털미디어시티(6)
469,6,2620,44614,97998,마포구,월드컵경기장(6)
470,6,2621,44614,286314,마포구,마포구청(6)
471,6,2622,44614,346966,마포구,망원(6)
472,6,2623,44614,284537,마포구,합정(6)
473,6,2624,44614,216936,마포구,상수(6)
474,6,2625,44614,184453,마포구,광흥창(6)
475,6,2626,44614,177080,마포구,대흥(6)
476,6,2627,44614,360597,마포구,공덕(6)
477,6,2628,44614,136004,용산구,효창공원앞(6)
478,6,2629,44614,116391,용산구,삼각지(6)
479,6,2630,44614,106976,용산구,녹사평(6)
480,6,2631,44614,237266,용산구,이태원(6)
481,6,2632,44614,217268,용산구,한강진(6)
482,6,2633,44614,45805,중구,버티고개(6)
483,6,2634,44614,77734,중구,약수(6)
484,6,2635,44614,85542,중구,청구(6)
485,6,2636,44614,184286,중구,신당(6)
486,6,2637,44614,184831,종로구,동묘앞(6)
487,6,2638,44614,60016,종로구,창신(6)
488,6,2639,44614,149617,성북구,보문(6)
489,6,2640,44614,215127,성북구,안암(6)
490,6,2641,44614,168651,성북구,고려대(6)
491,6,2642,44614,245476,성북구,월곡(6)
492,6,2643,44614,120788,성북구,상월곡(6)
493,6,2644,44614,192072,성북구,돌곶이(6)
494,6,2645,44614,277135,노원구,석계(6)
495,6,2646,44614,130673,노원구,태릉입구(6)
496,6,2647,44614,197476,노원구,화랑대(6)
497,6,2648,44614,182130,중랑구,봉화산(6)
498,7,2711,44614,21504,의정부시,장암(7)
499,7,2712,44614,235932,도봉구,도봉산(7)
500,7,2713,44614,277991,노원구,수락산(7)
501,7,2714,44614,269204,노원구,마들(7)
502,7,2715,44614,455431,노원구,노원(7)
503,7,2716,44614,276007,노원구,중계(7)
504,7,2717,44614,357550,노원구,하계(7)
505,7,2718,44614,263981,노원구,공릉(7)
506,7,2719,44614,178146,노원구,태릉입구(7)
507,7,2720,44614,225006,중랑구,먹골(7)
508,7,2721,44614,235011,중랑구,중화(7)
509,7,2722,44614,353711,중랑구,상봉(7)
510,7,2723,44614,333616,중랑구,면목(7)
511,7,2724,44614,357308,중랑구,사가정(7)
512,7,2725,44614,133573,중랑구,용마산(7)
513,7,2726,44614,223959,광진구,중곡(7)
514,7,2727,44614,268301,광진구,군자(7)
515,7,2728,44614,277433,광진구,어린이대공원(7)
516,7,2729,44614,286218,광진구,건대입구(7)
517,7,2730,44614,164320,광진구,뚝섬유원지(7)
518,7,2731,44614,442304,강남구,청담(7)
519,7,2732,44614,375360,강남구,강남구청(7)
520,7,2733,44614,511361,강남구,학동(7)
521,7,2734,44614,454229,강남구,논현(7)
522,7,2735,44614,120684,서초구,반포(7)
523,7,2736,44614,288628,서초구,고속터미널(7)
524,7,2737,44614,308945,서초구,내방(7)
525,7,2738,44614,336092,동작구,이수(7)
526,7,2739,44614,227842,동작구,남성(7)
527,7,2740,44614,257721,동작구,숭실대입구(7)
528,7,2741,44614,224353,동작구,상도(7)
529,7,2742,44614,199409,동작구,장승배기(7)
530,7,2743,44614,350300,동작구,신대방삼거리(7)
531,7,2744,44614,206285,동작구,보라매(7)
532,7,2745,44614,245519,영등포구,신풍(7)
533,7,2746,44614,184911,영등포구,대림(7)
534,7,2747,44614,350956,구로구,남구로(7)
535,7,2748,44614,878386,금천구,가산디지털단지(7)
536,7,2749,44614,457858,광명시,철산(7)
537,7,2750,44614,484584,광명시,광명사거리(7)
538,7,2751,44614,229551,구로구,천왕(7)
539,7,2752,44614,199122,구로구,온수(7)
540,8,2811,44614,367140,강동구,암사(8)
541,8,2812,44614,383927,강동구,천호(8)
542,8,2813,44614,232965,강동구,강동구청(8)
543,8,2814,44614,134081,송파구,몽촌토성(8)
544,8,2815,44614,370861,송파구,잠실(8)
545,8,2816,44614,200861,송파구,석촌(8)
546,8,2817,44614,164651,송파구,송파(8)
547,8,2818,44614,179229,송파구,가락시장(8)
548,8,2819,44614,458992,송파구,문정(8)
549,8,2820,44614,361713,송파구,장지(8)
550,8,2821,44614,172456,송파구,복정(8)
551,8,2822,44614,116044,성남시,산성(8)
552,8,2823,44614,267959,성남시,남한산성입구(8)
553,8,2824,44614,225369,성남시,단대오거리(8)
554,8,2825,44614,105592,성남시,신흥(8)
555,8,2826,44614,110245,성남시,수진(8)
556,8,2827,44614,83701,성남시,모란(8)
557,8,2828,44614,95066,성남시,남위례(8)
558,9,4126,44614,38833,강남구,언주(9)
559,9,4127,44614,34655,강남구,선정릉(9)
560,9,4128,44614,26940,강남구,삼성중앙(9)
561,9,4129,44614,63552,강남구,봉은사(9)
562,9,4130,44614,14534,송파구,종합운동장(9)
563,9,4131,44614,37848,송파구,삼전(9)
564,9,4132,44614,30717,송파구,석촌고분(9)
565,9,4133,44614,38256,송파구,석촌(9)
566,9,4134,44614,33290,송파구,송파나루(9)
567,9,4135,44614,17351,송파구,한성백제(9)
568,9,4136,44614,28893,송파구,올림픽공원(9)
569,9,4137,44614,7458,강동구,둔촌오륜(9)
570,9,4138,44614,42486,강동구,중앙보훈병원(9)
571,1,150,44642,954476,중구,서울역(1)
572,1,151,44642,506303,중구,시청(1)
573,1,152,44642,736862,종로구,종각(1)
574,1,153,44642,568693,종로구,종로3가(1)
575,1,154,44642,546946,종로구,종로5가(1)
576,1,155,44642,274331,종로구,동대문(1)
577,1,156,44642,336238,동대문구,신설동(1)
578,1,157,44642,442927,동대문구,제기동(1)
579,1,158,44642,511722,동대문구,청량리(1)
580,1,159,44642,252935,종로구,동묘앞(1)
