추계인구ID,자치구,"성별(남자0,여자1)",연령대,이용자
EP307,동작구,0,20대,19392
EP308,동작구,0,30대,24021
EP309,동작구,0,40대,25313
EP310,동작구,0,50대,24456
EP311,동작구,0,60대,26418
EP312,동작구,0,70세 이상,34847
EP313,동작구,1,9세 이하,10824
EP314,동작구,1,10대,7872
EP315,동작구,1,20대,22272
EP316,동작구,1,30대,25421
EP317,동작구,1,40대,25259
EP318,동작구,1,50대,26230
EP319,동작구,1,60대,29004
EP320,동작구,1,70세 이상,45826
EP321,관악구,0,9세 이하,11637
EP322,관악구,0,10대,7901
EP323,관악구,0,20대,30443
EP324,관악구,0,30대,37414
EP325,관악구,0,40대,32720
EP326,관악구,0,50대,29897
EP327,관악구,0,60대,32667
EP328,관악구,0,70세 이상,42233
EP329,관악구,1,9세 이하,10837
EP330,관악구,1,10대,7497
EP331,관악구,1,20대,34782
EP332,관악구,1,30대,33980
EP333,관악구,1,40대,28149
EP334,관악구,1,50대,28870
EP335,관악구,1,60대,33783
EP336,관악구,1,70세 이상,53218
EP337,서초구,0,9세 이하,14782
EP338,서초구,0,10대,13547
EP339,서초구,0,20대,17040
EP340,서초구,0,30대,22333
EP341,서초구,0,40대,30752
EP342,서초구,0,50대,27124
EP343,서초구,0,60대,25230
EP344,서초구,0,70세 이상,33335
EP345,서초구,1,9세 이하,13650
EP346,서초구,1,10대,12741
EP347,서초구,1,20대,19796
EP348,서초구,1,30대,27682
EP349,서초구,1,40대,33832
EP350,서초구,1,50대,29212
EP351,서초구,1,60대,28463
EP352,서초구,1,70세 이상,39508
EP353,강남구,0,9세 이하,15371
EP354,강남구,0,10대,18745
EP355,강남구,0,20대,22106
EP356,강남구,0,30대,28014
EP357,강남구,0,40대,38206
EP358,강남구,0,50대,34211
EP359,강남구,0,60대,30223
EP360,강남구,0,70세 이상,41015
EP361,강남구,1,9세 이하,14013
EP362,강남구,1,10대,16778
EP363,강남구,1,20대,26340
EP364,강남구,1,30대,34527
EP365,강남구,1,40대,43341
EP366,강남구,1,50대,35253
EP367,강남구,1,60대,33662
EP368,강남구,1,70세 이상,48581
EP369,송파구,0,9세 이하,22512
EP370,송파구,0,10대,18101
EP371,송파구,0,20대,26931
EP372,송파구,0,30대,38782
EP373,송파구,0,40대,46640
EP374,송파구,0,50대,43671
EP375,송파구,0,60대,45539
EP376,송파구,0,70세 이상,57118
EP377,송파구,1,9세 이하,21050
EP378,송파구,1,10대,17400
EP379,송파구,1,20대,30757
EP380,송파구,1,30대,44858
EP381,송파구,1,40대,49790
EP382,송파구,1,50대,48024
EP383,송파구,1,60대,50109
EP384,송파구,1,70세 이상,67030
EP385,강동구,0,9세 이하,11360
EP386,강동구,0,10대,9660
EP387,강동구,0,20대,14535
EP388,강동구,0,30대,20961
EP389,강동구,0,40대,26030
EP390,강동구,0,50대,25111
EP391,강동구,0,60대,26606
EP392,강동구,0,70세 이상,35523
EP393,강동구,1,9세 이하,10532
EP394,강동구,1,10대,8432
EP395,강동구,1,20대,15594
EP396,강동구,1,30대,22297
EP397,강동구,1,40대,25276
EP398,강동구,1,50대,25312
EP399,강동구,1,60대,28256
EP400,강동구,1,70세 이상,43441
