RT ID,10세 미만,10대,20대,30대,40대,50대,60대,70세 이상
R11530T4,28746.148,29144.8537,49639.1489,67410.0047,65972.7822,58683.8889,44318.9472,40547.0555
R11545T4,10727.3927,12334.9307,32030.5976,39009.1295,31335.0066,31442.0479,23158.1099,19742.1398
R11560T4,26099.3059,26485.9537,61524.9397,83770.6113,69076.2947,60592.6736,42932.2948,39375.4396
R11590T4,25837.3593,31595.2135,75159.1613,66836.2614,60665.8363,54223.28,40414.5067,42687.4322
R11620T4,22481.3977,31046.1623,121551.3613,97076.2576,70821.3904,61874.8434,45630.9253,47854.6459
R11650T4,40610.1969,49282.329,55524.3311,72018.8205,89326.0801,66259.6247,42172.5721,43020.5645
R11680T4,50165.4903,75133.5776,84836.6769,108505.6529,127238.183,90150.9687,55765.6893,57153.0502
R11710T4,59903.6815,68987.9291,89005.7686,125272.1539,124577.5908,104973.3484,77029.8715,67835.8318
R11740T4,40791.3436,51012.4168,61721.3798,82912.5113,90055.9501,78204.672,62487.2177,59009.0467
R11110T5,9503.593,16711.7162,38671.6178,29247.7988,31928.0624,32969.3412,23107.1012,23738.625
R11140T5,7934.2238,9315.2587,28387.0307,30266.9466,27625.8253,24142.4262,17360.0621,17325.4493
R11170T5,14657.0428,17757.9197,38350.9735,51180.0734,44754.383,37344.546,25741.705,25287.0734
R11200T5,21434.6992,23349.1323,53533.7207,57813.0534,52503.9647,46035.3073,33195.5928,31606.5259
R11215T5,21329.6844,30918.5032,72539.2308,62070.8715,55234.9862,51483.8923,35609.6358,31943.4059
R11230T5,19934.828,27867.8703,75156.4228,52734.6746,50879.0233,47336.1295,36435.9948,39379.9383
R11260T5,24662.2281,27494.1168,50864.2783,60154.6526,56340.5641,59429.8698,45058.4982,44406.2231
R11290T5,31457.0311,44993.9096,76164.5416,61309.7099,67954.4498,62866.6072,43925.5239,48141.5709
R11305T5,18085.5079,24435.3,44295.3584,40067.8151,45263.752,47539.2426,36776.1724,43258.2379
R11320T5,18654.4203,24524.8737,35340.235,38216.2129,41791.5815,45174.3312,37457.0326,39224.0054
R11350T5,35833.0391,59288.7971,69696.1264,65855.2226,80797.9814,79777.307,58702.8431,61997.8812
R11380T5,31173.5682,41093.8157,60698.8907,72294.6654,75247.4553,69116.3016,51323.2207,54949.7621
R11410T5,20550.6778,29427.6294,68953.7693,54120.8353,52865.7292,49807.7921,33872.72,36456.4424
R11440T5,24528.4985,32760.6123,81727.9497,78041.4058,70573.6039,54006.7397,34784.6424,35712.8561
R11470T5,30547.8646,48995.8288,42948.3305,51486.473,66970.2739,57456.2816,39694.0177,38437.8147
R11500T5,41608.6431,43655.5782,78124.8103,104359.7617,90962.8125,73637.4149,58712.6448,58462.8693
R11530T5,28586.74,29193.173,49708.7587,66699.6479,64485.5065,56787.6774,43372.3866,40200.8556
R11545T5,10710.8291,12319.8479,32222.5196,38877.3461,31009.3667,30679.6822,22787.5125,19556.9853
R11560T5,26086.5471,26579.9863,61641.7193,83030.7547,68536.0105,59458.4629,43425.7171,40159.482
R11590T5,25873.7337,31700.0603,75419.622,66880.6187,60508.3696,54199.8798,40419.845,42512.4219
R11620T5,22386.3541,30962.4664,121246.048,96670.5959,70373.3437,60838.8083,44840.2292,47587.664
R11650T5,40686.264,49258.9505,55818.1148,72770.8379,90168.8684,68082.8492,43995.3744,43985.8057
R11680T5,50152.7692,75198.6844,84299.7579,108569.6996,126950.8238,91232.5023,57306.2557,58051.9456
R11710T5,60052.1662,69045.8507,89311.0814,125289.8925,124561.2172,105147.9485,77409.3979,68245.1714
R11740T5,40842.8875,51015.4163,61648.1412,82805.4864,90174.8326,78141.8725,62526.4212,58959.6459
R11110T6,9501.4055,16962.1241,39134.6124,29805.8761,32809.8559,33765.2326,24011.5469,24511.3882
R11140T6,7998.786,9428.1477,28960.1386,30913.1045,28718.073,25934.1897,19053.6258,18268.0613
R11170T6,14720.314,18016.5004,38769.994,51529.4656,45116.4444,38276.9644,26485.1489,25946.4987
R11200T6,21585.574,23598.5563,53880.7368,58003.8786,52511.8015,46186.3198,33346.0426,31871.8984
R11215T6,21278.9792,30919.0532,72043.3713,61771.8433,54851.2575,50910.2068,35259.884,32019.146
R11230T6,19819.0443,27741.1588,74975.059,52580.4112,51209.7425,47543.0126,36591.5363,39575.5526
R11260T6,24597.2996,27668.0442,50572.5305,59385.7092,55286.1632,57853.4298,43896.9303,43782.1571
R11290T6,31155.7625,44807.0761,75809.8144,60826.8365,67335.4956,61958.9792,43118.344,47406.6643
R11305T6,17945.4364,24340.6238,43864.6378,39753.5551,44286.7127,46120.3878,35694.2149,42570.54
