연번,호선,고유역번호(외부역코드),역명,수송연월,하차인원수
214,7,2712,도봉산(7),Jan-22,272831
215,7,2713,수락산,Jan-22,323034
216,7,2714,마들,Jan-22,312041
217,7,2715,노원(7),Jan-22,531219
218,7,2716,중계,Jan-22,321010
219,7,2717,하계,Jan-22,418172
220,7,2718,공릉,Jan-22,296534
221,7,2719,태릉입구(7),Jan-22,204138
222,7,2720,먹골,Jan-22,258366
223,7,2721,중화,Jan-22,270544
224,7,2722,상봉(7),Jan-22,415846
225,7,2723,면목,Jan-22,385088
226,7,2724,사가정,Jan-22,412663
227,7,2725,용마산,Jan-22,154214
228,7,2726,중곡,Jan-22,258588
229,7,2727,군자(7),Jan-22,309574
230,7,2728,어린이대공원,Jan-22,309880
231,7,2729,건대입구(7),Jan-22,341520
232,7,2730,뚝섬유원지,Jan-22,186658
233,7,2731,청담,Jan-22,516752
234,7,2732,강남구청,Jan-22,437211
235,7,2733,학동,Jan-22,605100
236,7,2734,논현,Jan-22,536648
237,7,2735,반포,Jan-22,141710
238,7,2736,고속터미널(7),Jan-22,351333
239,7,2737,내방,Jan-22,363854
240,7,2738,이수(7),Jan-22,393371
241,7,2739,남성,Jan-22,261691
242,7,2740,숭실대입구,Jan-22,298333
243,7,2741,상도,Jan-22,261811
244,7,2742,장승배기,Jan-22,228831
245,7,2743,신대방삼거리,Jan-22,405160
246,7,2744,보라매,Jan-22,240301
247,7,2745,신풍,Jan-22,284990
248,7,2746,대림(7),Jan-22,226286
249,7,2747,남구로,Jan-22,411168
250,7,2748,가산디지털단지(7),Jan-22,1047650
251,7,2749,철산,Jan-22,546684
252,7,2750,광명사거리,Jan-22,576190
253,7,2751,천왕,Jan-22,270701
254,7,2752,온수(7),Jan-22,231840
255,8,2811,암사,Jan-22,433625
256,8,2812,천호(8),Jan-22,453026
257,8,2813,강동구청,Jan-22,274227
258,8,2814,몽촌토성,Jan-22,158033
259,8,2815,잠실(8),Jan-22,454381
260,8,2816,석촌(8),Jan-22,237439
261,8,2817,송파,Jan-22,192614
262,8,2818,가락시장(8),Jan-22,222530
263,8,2819,문정,Jan-22,544591
264,8,2820,장지,Jan-22,428675
265,8,2821,복정(8),Jan-22,202364
266,8,2822,산성,Jan-22,137519
267,8,2823,남한산성입구,Jan-22,312081
268,8,2824,단대오거리,Jan-22,262600
269,8,2825,신흥,Jan-22,121922
270,8,2826,수진,Jan-22,127612
271,8,2827,모란(8),Jan-22,99865
272,8,2828,남위례,Jan-22,104846
