기준일ID,시간대구분,자치구코드,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수,남자70세이상생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수,여자70세이상생활인구수
20221119,1,11305,303884.5131,9534.3128,5215.8592,7394.1538,9433.8343,11391.6203,9163.1135,11245.6193,10684.8118,12413.544,11567.2251,11791.4297,9312.8794,7167.6442,16654.233,8632.145,4729.6577,7232.8732,12404.1046,11375.594,9362.7068,10552.9369,10316.215,12361.5944,12175.9052,13036.7268,11867.6336,9397.5171,27468.6213
20221119,1,11320,280089.4089,9904.5373,5540.3128,7255.4056,7334.4936,8808.5349,8063.0374,10243.4167,9872.703,11218.983,10069.3904,10835.446,9491.6163,7324.7867,15476.6378,8843.069,4964.3487,6794.2597,8806.5702,9320.4633,8898.1052,10653.8906,9459.9792,11278.7578,11598.9393,13024.4728,11995.6907,9156.1004,23855.4626
20221119,1,11350,513929.2672,18180.6135,12065.2653,18921.2049,18445.3611,15855.0527,14151.0423,17112.8576,17171.2606,21440.9282,18618.2824,18405.8249,14673.4984,11598.7763,23200.6474,17591.5035,11417.8187,16882.8042,19591.8589,15886.9822,15931.8456,18500.741,19129.1457,23568.4508,21452.1073,22061.8159,18674.1191,14541.8877,38857.5738
20221119,1,11380,457604.6337,16090.0004,8904.2129,12314.9422,11888.3464,14712.3144,15255.5528,18426.1359,17479.213,19351.6617,16402.7089,15581.4097,13495.6259,9416.9618,20132.8171,15132.1065,8279.0884,11414.4939,15093.9911,17923.7597,17745.5906,20576.6701,18541.2543,20269.1718,18440.5951,19757.9579,16708.9219,12724.1285,35545.0001
20221119,1,11410,345266.156,10701.939,5398.1895,8290.0583,13980.737,13986.1307,11455.6082,13934.4771,12756.114,13494.4353,12218.5765,11319.5233,8763.914,6332.4367,13229.0219,9813.8351,5239.8045,10509.2733,23726.8491,16746.8312,13315.2771,14800.5464,12635.5146,14006.833,12696.5258,13492.4301,10899.1746,8136.6424,23385.4498
20221119,1,11440,422877.5473,12473.4782,6325.0179,10612.0707,18084.1761,20817.2071,18049.965,20489.5536,17427.2433,18307.3013,14043.8322,12058.5659,9101.0303,6499.2136,13064.5832,11996.937,5914.7174,10672.2669,25869.692,24312.0363,20421.015,21672.5056,17180.3417,18562.6585,14219.2864,13227.9376,10599.4847,8212.5271,22662.897
20221119,1,11470,377852.4658,15897.8535,11299.9852,14942.2636,9150.9472,10775.5977,10825.108,13819.5802,14102.3408,18204.5744,14521.8889,13866.2317,10138.1797,7828.6967,14947.7522,14522.1812,9976.9088,12924.1808,10724.0064,11703.8298,11917.4364,14880.9127,16225.1458,18673.8512,15017.2928,14883.7703,12548.1378,9760.8862,23772.9205
20221119,1,11500,545634.374,21551.3913,9866.3693,12384.0965,12870.7398,21327.6679,23786.3935,26992.163,23408.488,23527.8731,17520.5656,17462.6522,15041.7584,11117.9593,22591.7128,20043.4356,9080.781,12157.0248,17135.5572,25281.8327,25754.4363,26883.0087,21784.594,21927.2064,17831.2984,19869.2966,18042.4002,14455.4317,35938.2443
20221119,1,11530,383583.1522,13965.0061,6236.3254,8388.9096,8725.1859,13962.9284,15144.5752,18722.7796,16536.6595,18069.3004,14181.1188,14883.4,11679.2454,8503.2596,16269.322,14716.4635,6374.4513,8038.5623,11788.0093,14788.8405,15598.6285,17908.1441,14815.3477,16322.508,13941.6813,15474.8416,13740.4886,10394.8666,24412.3044
20221119,1,11545,199736.4907,5893.0782,2721.2217,3430.0624,5309.3195,9954.9377,10337.6062,10687.1196,8718.4299,8841.7124,7810.0037,8359.2777,6493.6231,4523.8578,8050.6279,5060.356,2555.4052,3652.0001,6312.5557,9880.9858,8826.1994,8847.8107,6745.4523,7263.5648,7137.6408,8305.9359,7006.9326,5163.6753,11847.0963
20221119,1,11560,409972.836,12770.728,5701.1378,7954.6203,10513.4095,17519.2429,20254.2829,22153.4968,18718.399,18592.3523,15508.3316,16009.2222,11517.1647,8548.631,15847.1787,13316.5911,5594.0162,7281.7383,14084.5209,19790.0317,20539.9447,21496.4082,16177.6536,15968.4717,13613.8581,15502.4171,12734.5616,9649.3384,22615.0863
20221119,1,11590,396268.4836,13236.2163,6155.1505,9976.123,15886.7192,19825.2673,16058.2874,16955.8409,14699.1664,15865.6864,13823.9746,12497.0454,9686.4706,7714.3398,16417.5313,12675.0249,5820.0881,9571.0318,19953.696,18966.0496,15806.6176,17638.0399,14295.1757,15371.8902,13462.6636,14468.1039,12957.3023,10226.9519,26258.0268
20221119,1,11620,498241.8739,11552.8073,5629.5737,10203.623,21892.4608,36372.5325,28786.4756,24191.4953,18942.6312,19578.1904,15934.9032,15334.6326,11613.2344,8594.1934,18935.9336,10994.897,5267.8781,9978.2928,27469.2402,34794.7818,23886.3014,19977.5418,15758.6246,16703.8172,14910.3382,16080.2002,14050.6072,11673.4461,29133.2213
20221119,1,11650,463516.6167,20691.1738,11227.6769,13926.3092,12508.292,15114.8184,15610.943,19685.2226,20687.0679,24657.4036,18877.6327,15484.077,10940.897,8375.8057,16830.181,20095.3581,10878.7282,13514.4033,14357.9794,15759.3443,16679.5828,21563.8623,21627.6469,23141.5721,16701.046,15410.9182,12379.9788,10558.7771,26229.9281
20221119,1,11680,658038.9747,25928.1748,16922.106,22808.196,17473.0655,22939.2508,24427.6002,30423.054,30902.4782,34795.06,26722.4224,20868.3184,14213.3834,11046.234,22368.1144,23675.0814,14853.5385,20474.0788,22044.3561,26111.1183,25755.2993,31702.1712,30635.3798,33251.6431,22563.5136,20495.0928,16180.4915,14075.479,34384.2767
20221119,1,11710,723007.4527,31568.8638,15798.1384,19684.9693,17202.3716,23629.0162,26689.5659,33140.7997,30999.1481,31743.1531,25453.3343,24939.0118,19462.6664,14734.0398,27433.6559,28890.082,14852.6669,18952.6955,21285.7101,27217.3869,30222.8484,36068.8452,31496.6281,31573.3698,26829.4913,28540.8503,24194.6033,19261.7234,41141.8153
20221119,1,11740,520876.0892,21347.8536,12056.6001,15084.4573,12432.9652,15949.8134,17016.4255,22270.6757,21614.693,22485.6728,18289.571,18438.1868,15559.1112,11600.9888,23071.2101,19237.2363,10635.1859,13125.508,14750.7524,17740.608,18975.73,23567.0739,22577.0333,22281.6836,19265.7415,21330.8819,19614.2598,15384.695,35171.4819
20221119,2,11110,205990.5649,4758.6969,2842.5111,5306.8407,8915.0958,9099.0078,7220.3519,8013.6835,7318.4706,8559.7141,8445.7104,8142.37,6028.7652,4581.7493,8911.6515,4752.1851,2841.432,5742.5771,12197.5169,9145.6821,7068.7149,7764.5024,7383.3663,8791.1676,7782.2878,8247.6462,6575.9352,5174.1595,14378.7707
20221119,2,11140,161195.179,4249.6597,1728.3467,2718.8185,5826.849,6921.8482,6889.5216,8721.2749,7480.478,7546.9173,6670.6183,6153.0073,4667.0434,3432.7146,6558.3719,3910.7798,1691.7201,3242.4987,7929.8767,7690.8632,7352.7728,7979.9658,6374.3125,6341.0382,5283.1793,5569.8828,4845.3147,3526.2265,9891.2774
20221119,2,11170,251308.4003,7407.2499,3633.0045,5109.7519,7687.7446,9634.2758,11210.8951,13575.1525,11448.9123,11134.9288,9693.9094,8491.9302,6586.5969,4922.0814,9201.0977,7138.837,3440.7732,5460.8902,9118.8519,11654.7625,12239.2775,13933.3173,10494.2912,10955.2639,9189.1944,8908.052,7613.9705,5827.0756,15596.3052
20221119,2,11200,316608.3479,10871.6517,4470.814,6783.6523,11651.6573,13259.6584,12021.5002,15519.6127,13497.539,13368.242,10813.1263,11215.2949,8945.4315,6136.1913,11629.3515,10383.2444,4521.8171,7474.025,14372.132,13855.1273,13157.0755,16827.7171,12773.9534,12637.2586,11434.8769,11849.0995,10022.595,7630.1152,19485.5838
20221119,2,11215,363289.0897,10785.8164,5760.888,9591.143,15378.2537,17802.4145,14781.3795,15454.245,12933.6905,14151.6361,12361.2158,12463.4467,9263.5796,6564.8768,12689.1563,10679.9541,5923.3455,9929.6843,20425.2757,19935.0484,15865.1589,16161.6627,13649.1196,14474.8245,12904.1641,13967.4602,11415.5472,8509.5444,19466.5523
20221119,2,11230,348465.3513,10190.4704,5054.0015,8230.5646,16734.2883,16011.6469,11918.2882,14316.6714,12743.2194,13793.0161,11795.5895,11946.8287,9562.791,7107.915,15130.2754,9905.3961,4887.9192,9662.194,25657.9901,16509.0671,12339.4372,14003.0122,11900.6115,12283.0099,11331.547,12067.7408,10591.4665,8859.0161,23931.3762
20221119,2,11260,371249.7383,12669.6056,6115.1694,7979.0381,9989.5912,13457.1037,13828.2041,16061.6182,14115.9375,14737.0533,13529.4928,15038.474,12031.343,8871.7631,17789.9616,11868.5716,5679.3975,7743.0282,11962.4458,15114.0541,14346.4381,16066.4468,13298.7485,14472.0928,14540.5932,17040.1738,14585.3506,10869.5338,27448.5156
20221119,2,11290,436140.3526,16619.4542,9317.7714,13214.5492,17673.6881,16349.2569,13157.4949,16201.7508,15034.9458,17201.6998,15939.2931,14133.6596,11191.1591,8492.8888,17871.8751,14800.1568,8140.7118,14043.3282,24427.7482,16947.3285,14198.6449,17365.365,16290.2224,19116.1477,16737.8624,16414.7885,13668.4659,11038.8974,30551.192
20221119,2,11305,304354.1928,9564.0904,5233.487,7400.3208,9408.0455,11429.5442,9141.8598,11245.2727,10683.2047,12437.7417,11598.409,11837.6345,9363.8208,7183.1976,16668.8543,8636.3634,4735.3935,7250.4815,12458.1838,11422.6761,9403.9577,10558.6678,10304.4951,12409.9216,12214.7222,13036.8862,11922.9637,9384.6712,27419.3291
20221119,2,11320,281520.7068,9853.7126,5513.7226,7297.8895,7552.6961,8955.9624,8131.3223,10410.5937,9877.4937,11360.2707,10126.9788,10888.3413,9512.0641,7364.6491,15567.0911,8827.3959,4964.0841,6775.935,8893.6154,9381.9185,8936.4663,10647.0266,9504.6582,11352.513,11645.108,13122.0051,12014.6245,9122.6557,23919.9051
20221119,2,11350,514526.6723,18160.3279,12064.9775,18934.1283,18395.4102,15783.1996,14258.8803,17153.0055,17251.0029,21507.0307,18675.5328,18446.2244,14720.101,11592.1364,23305.7944,17604.0656,11426.7193,16843.8341,19630.7227,15926.7675,15893.4097,18567.2809,19103.0779,23668.1007,21392.9966,22034.1503,18684.1681,14578.7751,38924.8563
20221119,2,11380,458626.1415,16116.6184,8909.342,12390.2886,11920.9289,14856.7288,15437.5031,18546.4344,17571.9499,19353.1031,16412.5501,15536.5583,13517.0837,9394.3193,20125.9346,15105.9095,8250.1636,11465.3304,15173.5909,18061.8931,17763.1516,20663.8345,18580.1052,20263.9757,18414.9149,19723.1486,16760.2914,12733.864,35576.6248
20221119,2,11410,346521.1504,10661.4602,5397.1947,8293.2317,14100.9709,14011.7238,11554.1132,14031.6349,12862.1727,13564.9331,12290.2298,11339.7258,8751.0281,6370.428,13364.4682,9839.3311,5262.0112,10492.9245,23763.758,16864.7891,13416.3203,14794.1904,12669.9832,14068.0111,12783.2616,13522.8605,10884.8913,8123.628,23441.8759
20221119,2,11440,419001.7747,12513.7334,6345.6693,10551.7252,17711.0632,20264.1642,17669.0669,20231.7982,17224.0862,18149.7226,13933.6491,12118.3701,9127.6395,6514.4151,13019.1327,11969.3995,5902.0862,10575.3336,25369.019,23738.3004,20143.4138,21505.7074,17125.1897,18445.0941,14194.1755,13247.0121,10598.3569,8197.689,22616.7529
20221119,2,11470,378421.6774,16043.6032,11370.7251,14907.8373,9172.3597,10861.5238,10887.5122,13828.6685,14076.9527,18335.8161,14547.2088,13900.7195,10171.5989,7831.7223,14972.6251,14476.3749,9939.8018,12864.9801,10814.9765,11856.744,11872.489,14899.5414,16231.5645,18744.7305,15029.3177,14963.4161,12469.4228,9682.9466,23666.4935
20221119,2,11500,546700.6768,21445.8036,9807.5482,12401.164,12973.1824,21442.9959,23869.237,27099.9914,23411.1074,23600.2644,17534.8813,17465.3954,15016.7964,11154.2152,22627.0261,20046.9916,9087.9746,12200.8027,17221.3949,25431.0495,25930.6611,26896.9614,21774.4307,21958.9553,17882.0837,19810.9479,18112.0841,14491.7658,36004.9542
20221119,2,11530,383959.5851,13994.2117,6252.2627,8387.7236,8852.4633,14016.4532,15220.6418,18682.7124,16561.345,18037.2489,14184.3152,14905.8188,11716.171,8431.2653,16235.5202,14756.8122,6386.8732,8029.2173,11808.1442,14789.6135,15672.4102,17895.9125,14811.1441,16303.8633,13968.2409,15469.4979,13753.4812,10388.0767,24448.1443
20221119,2,11545,199554.0048,5769.3964,2683.959,3386.2963,5368.7719,9989.0118,10389.8395,10661.807,8725.8938,8759.5485,7800.0585,8256.4381,6509.824,4554.5466,8032.0296,5048.7716,2546.4079,3632.309,6381.5836,9961.8504,8877.7418,8825.4667,6726.1689,7246.5291,7124.373,8311.9254,7009.5659,5166.1679,11807.7242
20221119,2,11560,408575.6388,12736.4306,5683.7007,7937.8917,10326.0741,17413.7323,20047.3441,21983.6758,18550.3592,18512.1025,15453.3461,15978.0373,11464.0481,8517.4195,15791.9963,13385.6509,5621.517,7312.5315,14050.6233,19773.2863,20430.3323,21377.1036,16151.8886,15895.016,13609.3127,15474.4754,12694.5802,9712.0128,22691.1527
20221119,2,11590,396908.0414,13253.8112,6173.1401,10022.9357,15950.7073,19787.4227,16120.4754,16970.3329,14808.5315,15894.2334,13864.0705,12501.588,9539.3394,7720.1971,16458.3243,12713.0746,5828.8402,9591.8863,19989.4231,19074.8101,15818.8807,17648.9166,14302.09,15458.917,13418.8319,14453.9202,12995.2818,10230.7864,26317.2745
