객체id,현황도형 관리번호,도형 대분류코드,도형 중분류코드,도형 소분류코드,도형 속성코드,도형 조서관리 코드,결정고시관리코드,라벨명,시군구코드,도면번호,현황도형 생성일시,면적(도형),길이(도형)
173681,11000UQ111PS201912156181,UQA200,UQA220, ,UQA220,11000ARZ200012210430,11000NTC200012210081,일반상업지역,11000, ,00:00.0,26445.9906,846.8106299
173682,11000UQ111PS201912153570,UQA100,UQA120,UQA124,UQA124,11000ARZ000000001111, ,제2종일반주거지역(7층이하),11000, ,00:00.0,170176.9054,2376.622787
173683,11000UQ111PS201912153742,UQA100,UQA120,UQA124,UQA124,11000ARZ000000001111, ,제2종일반주거지역(7층이하),11000, ,00:00.0,3160.37028,249.9239124
173684,11000UQ111PS201912153745,UQA100,UQA120,UQA124,UQA124,11000ARZ000000001111, ,제2종일반주거지역(7층이하),11000, ,00:00.0,11043.4164,482.0680171
173685,11000UQ111PS201912153746,UQA100,UQA120,UQA124,UQA124,11000ARZ000000001111, ,제2종일반주거지역(7층이하),11000, ,00:00.0,333.4177935,100.005198
173686,11000UQ111PS201912150283,UQA100,UQA120,UQA124,UQA124,11000ARZ000000001111, ,제2종일반주거지역(7층이하),11000, ,00:00.0,344092.2522,5927.797168
173687,11000UQ111PS201912150296,UQA100,UQA120,UQA124,UQA124,11000ARZ000000001111, ,제2종일반주거지역(7층이하),11000, ,00:00.0,177044.5083,2453.015131
173688,11000UQ111PS201912150371,UQA100,UQA120,UQA124,UQA124,11000ARZ000000001111, ,제2종일반주거지역(7층이하),11000, ,00:00.0,8332.299674,563.8334065
173689,11000UQ111PS201912150373,UQA100,UQA120,UQA124,UQA124,11000ARZ000000001111, ,제2종일반주거지역(7층이하),11000, ,00:00.0,28096.29666,715.2706844
173690,11000UQ111PS201912150303,UQA100,UQA120,UQA124,UQA124,11000ARZ000000001111, ,제2종일반주거지역(7층이하),11000, ,00:00.0,7747.379914,348.5726367
173691,11000UQ111PS201912150308,UQA100,UQA120,UQA124,UQA124,11000ARZ000000001111, ,제2종일반주거지역(7층이하),11000, ,00:00.0,240158.2818,3362.217142
173692,11000UQ111PS201912150309,UQA100,UQA120,UQA124,UQA124,11000ARZ000000001111, ,제2종일반주거지역(7층이하),11000, ,00:00.0,76203.94211,1190.655579
173693,11000UQ111PS201912150310,UQA100,UQA120,UQA124,UQA124,11000ARZ000000001111, ,제2종일반주거지역(7층이하),11000, ,00:00.0,386328.9701,4595.181531
173694,11000UQ111PS201912150285,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,257514.7878,4204.574972
173695,11000UQ111PS201912150289,UQA100,UQA120,UQA124,UQA124,11000ARZ000000001111, ,제2종일반주거지역(7층이하),11000, ,00:00.0,14086.60444,824.5434956
173696,11000UQ111PS201912150293,UQA100,UQA120,UQA124,UQA124,11000ARZ000000001111, ,제2종일반주거지역(7층이하),11000, ,00:00.0,2336.828091,469.4946319
173697,11000UQ111PS201912151157,UQA100,UQA120,UQA124,UQA124,11000ARZ000000001111, ,제2종일반주거지역(7층이하),11000, ,00:00.0,18789.8267,597.5843026
173698,11000UQ111PS201912151162,UQA100,UQA120,UQA124,UQA124,11000ARZ000000001111, ,제2종일반주거지역(7층이하),11000, ,00:00.0,43271.42683,1309.622569
173699,11000UQ111PS201912150684,UQA100,UQA120,UQA124,UQA124,11000ARZ000000001111, ,제2종일반주거지역(7층이하),11000, ,00:00.0,38537.92767,935.1153715
173700,11000UQ111PS201912153528,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,51768.03037,1530.547647
173701,11000UQ111PS201912153530,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,4744.403456,453.405623
173702,11000UQ111PS201912153531,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,4457.667486,450.9900081
173703,11000UQ111PS201912153532,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,21319.1994,911.3850362
173704,11000UQ111PS201912153602,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,74929.04712,2252.617607
173705,11000UQ111PS201912152775,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,33450.42844,852.8334933
173706,11000UQ111PS201912152776,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,5626.957653,377.5002033
173707,11000UQ111PS201912152778,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,4314.955797,311.386048
173708,11000UQ111PS201912152779,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,3563.775256,239.8334749
173709,11000UQ111PS201912152781,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,2168.207168,189.1489367
173710,11000UQ111PS201912154600,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,2754.160704,240.5587943
173711,11000UQ111PS201912154424,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,111512.7685,3886.266543
173712,11000UQ111PS201912154427,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,23123.50848,605.8620564
173713,11000UQ111PS201912154746,UQA100,UQA120,UQA122,UQA122,11000ARZ201812241184,11000NTC201812120040,제2종일반주거지역,11000, ,00:00.0,29115.92538,1157.938322
