"객체id","현황도형 관리번호","도형 대분류코드","도형 중분류코드","도형 소분류코드","도형 속성코드","도형 조서관리 코드","결정고시관리코드","라벨명","시군구코드","도면번호","현황도형 생성일시","면적(도형)","길이(도형)"
"172322","11000UQ111PS201912153140","UQA100","UQA120","UQA122","UQA122","11000ARZ000000001111"," ","제2종일반주거지역","11000"," ","2019-12-15 00:00:00.0","7765.92576701","370.58562403"
"172323","11000UQ111PS201912153192","UQA100","UQA120","UQA122","UQA122","11000ARZ000000001111"," ","제2종일반주거지역","11000"," ","2019-12-15 00:00:00.0","5697.69395339","296.08958206"
"172324","11000UQ111PS201912153194","UQA100","UQA120","UQA122","UQA122","11000ARZ000000001111"," ","제2종일반주거지역","11000"," ","2019-12-15 00:00:00.0","7615.30716585","426.67884304"
"172325","11000UQ111PS201912155004","UQA100","UQA120","UQA123","UQA123","11000ARZ000000001111"," ","제3종일반주거지역","11000"," ","2019-12-15 00:00:00.0","188887.68778785","6160.58429829"
"172326","11000UQ111PS201912155007","UQA100","UQA120","UQA123","UQA123","11000ARZ000000001111"," ","제3종일반주거지역","11000"," ","2019-12-15 00:00:00.0","6136.17491793","342.54417991"
"172327","11000UQ111PS201912155008","UQA100","UQA120","UQA123","UQA123","11000ARZ201105243609","11000NTC201012035695","제3종일반주거지역","11000"," ","2019-12-15 00:00:00.0","89367.67260772","1714.71439150"
"172328","11000UQ111PS201912154676","UQA100","UQA120","UQA123","UQA123","11000ARZ000000001111"," ","제3종일반주거지역","11000"," ","2019-12-15 00:00:00.0","69922.39358948","2780.89274218"
"172329","11000UQ111PS202002030004","UQA200","UQA220"," ","UQA220","11000ARZ202001280011","11000NTC202001280023","일반상업지역","11000"," ","2020-02-03 00:00:00.0","559575.37745114","7216.50243197"
"172330","11000UQ111PS201910160097","UQA200","UQA220"," ","UQA220","11170ARZ201909170001","11170NTC201909170001","일반상업지역","11170"," ","2019-10-16 00:00:00.0","4379.98208345","286.28179948"
"172331","11170UQ111PS201909110103","UQA200","UQA220"," ","UQA220","11000ARZ000000001111"," ","일반상업지역","11170"," ","2020-07-14 00:00:00.0","27436.21529411","903.10838783"
"172332","11000UQ111PS201905210042","UQA200","UQA220"," ","UQA220","11000ARZ193909180006","11000NTC193909180014","일반상업지역","11000"," ","2019-05-22 00:00:00.0","339645.91986443","11751.73780428"
"172333","11560UQ111PS201908300122","UQA200","UQA220"," ","UQA220","11000ARZ201905240004","11560NTC201905240001","일반상업지역","11560"," ","2019-08-31 00:00:00.0","32772.53467378","1566.58431654"
"172334","11110UQ111PS201908270050","UQA200","UQA220"," ","UQA220","11110ARZ201908130001","11110NTC201908130002","일반상업지역","11110"," ","2019-08-27 00:00:00.0","2465.50692682","313.70364137"
"172335","11110UQ111PS201909040051","UQA200","UQA220"," ","UQA220","11000ARZ201906270003","11110NTC201906270002","일반상업지역","11110"," ","2019-09-04 00:00:00.0","4727.29088270","316.20758079"
"172336","11110UQ111PS201909040052","UQA200","UQA220"," ","UQA220","11000ARZ201906270002","11110NTC201906270002","일반상업지역","11110"," ","2019-09-04 00:00:00.0","6510.77312799","559.64241211"
"172337","11000UQ111PS201912154656","UQA100","UQA120","UQA123","UQA123","11000ARZ000000001111"," ","제3종일반주거지역","11000"," ","2019-12-15 00:00:00.0","14131.61143871","496.42243946"
"172338","11000UQ111PS201912153775","UQA100","UQA120","UQA123","UQA123","11000ARZ000000001111"," ","제3종일반주거지역","11000"," ","2019-12-15 00:00:00.0","2962.60612508","227.50463578"
"172339","11000UQ111PS201912153282","UQA100","UQA120","UQA123","UQA123","11000ARZ000000001111"," ","제3종일반주거지역","11000"," ","2019-12-15 00:00:00.0","18032.27234643","553.15398797"
"172340","11000UQ111PS201905210164","UQA200","UQA220"," ","UQA220","11000ARZ201706145507","11000NTC201701127995","일반상업지역","11000"," ","2019-10-07 00:00:00.0","6197.93334107","1264.18533294"
"172341","11000UQ111PS201907150057","UQA200","UQA220"," ","UQA220","11110ARZ201905150001","11110NTC201905150001","일반상업지역","11110"," ","2019-07-15 00:00:00.0","1629.78478182","186.61974722"
"172342","11000UQ111PS201910160089","UQA200","UQA220"," ","UQA220","11000ARZ201909060006","11000NTC201909060007","일반상업지역","11620"," ","2019-10-16 00:00:00.0","3018.94246250","334.87726729"
"172343","11000UQ111PS202001290001","UQA200","UQA220"," ","UQA220","11000ARZ202001280002","11000NTC202001280021","일반상업지역","11000"," ","2020-01-29 00:00:00.0","2187.78521165","201.83732793"
"172344","11000UQ111PS201905210010","UQA200","UQA220"," ","UQA220","11000ARZ201410275465","11000NTC201406127224","일반상업지역","11000"," ","2019-05-22 00:00:00.0","1987.65665923","187.86596825"
"172345","11000UQ111PS201912150193","UQA100","UQA120","UQA124","UQA124","11000ARZ201412014639","11000NTC201404037153","제2일반주거지역(7층이하)","11000"," ","2019-12-15 00:00:00.0","206733.00881771","4753.66023849"
"172346","11000UQ111PS201912150194","UQA100","UQA120","UQA124","UQA124","11000ARZ000000001111"," ","제2종일반주거지역(7층이하)","11000"," ","2019-12-15 00:00:00.0","162220.70175922","3095.89714126"
"172347","11000UQ111PS201912150195","UQA100","UQA120","UQA124","UQA124","11000ARZ000000001111"," ","제2종일반주거지역(7층이하)","11000"," ","2019-12-15 00:00:00.0","42251.32000973","980.85303438"
"172348","11000UQ111PS201912150129","UQA100","UQA120","UQA124","UQA124","11000ARZ000000001111"," ","제2종일반주거지역(7층이하)","11000"," ","2019-12-15 00:00:00.0","36.59537567","35.84656612"
"172349","11000UQ111PS201912150130","UQA100","UQA120","UQA124","UQA124","11000ARZ000000001111"," ","제2종일반주거지역(7층이하)","11000"," ","2019-12-15 00:00:00.0","62.32749486","89.90213030"
"172350","11000UQ111PS201912150132","UQA100","UQA120","UQA124","UQA124","11000ARZ000000001111"," ","제2종일반주거지역(7층이하)","11000"," ","2019-12-15 00:00:00.0","885500.26870539","19315.70389706"
"172351","11000UQ111PS201912150134","UQA100","UQA120","UQA124","UQA124","11000ARZ201709194763","11000NTC201704278097","제2종일반주거지역(7층)","11000"," ","2019-12-15 00:00:00.0","109704.85183364","12748.89144206"
"172352","11000UQ111PS201912150135","UQA100","UQA120","UQA124","UQA124","11000ARZ000000001111"," ","제2종일반주거지역(7층이하)","11000"," ","2019-12-15 00:00:00.0","2354.30870462","230.65087155"
"172353","11000UQ111PS201912150137","UQA100","UQA120","UQA124","UQA124","11000ARZ000000001111"," ","제2종일반주거지역(7층이하)","11000"," ","2019-12-15 00:00:00.0","31545.28581347","769.43687298"
"172354","11000UQ111PS201912150138","UQA100","UQA120","UQA124","UQA124","11000ARZ201809200153","11000NTC201808230002","제2종일반주거지역(7층이하)","11000"," ","2019-12-15 00:00:00.0","12468.06631443","1800.70211437"
"172355","11000UQ111PS201912150142","UQA100","UQA120","UQA124","UQA124","11000ARZ000000001111"," ","제2종일반주거지역(7층이하)","11000"," ","2019-12-15 00:00:00.0","2936.49365693","358.46464795"
"172356","11000UQ111PS201912150143","UQA100","UQA120","UQA124","UQA124","11000ARZ000000001111"," ","제2종일반주거지역(7층이하)","11000"," ","2019-12-15 00:00:00.0","1435.50431309","166.02037745"
"172357","11000UQ111PS201912150144","UQA100","UQA120","UQA124","UQA124","11000ARZ000000001111"," ","제2종일반주거지역(7층이하)","11000"," ","2019-12-15 00:00:00.0","15625.81590371","504.04480694"
"172358","11000UQ111PS201912150145","UQA100","UQA120","UQA124","UQA124","11000ARZ000000001111"," ","제2종일반주거지역(7층이하)","11000"," ","2019-12-15 00:00:00.0","14556.82297497","490.90688520"
"172359","11000UQ111PS201912150146","UQA100","UQA120","UQA124","UQA124","11000ARZ000000001111"," ","제2종일반주거지역(7층이하)","11000"," ","2019-12-15 00:00:00.0","7092.66001268","483.57209131"
"172360","11000UQ111PS201912155602","UQA100","UQA120","UQA123","UQA123","11000ARZ000000001111"," ","제3종일반주거지역","11000"," ","2019-12-15 00:00:00.0","11721.28025096","1355.30334647"
"172361","11000UQ111PS201912155603","UQA100","UQA120","UQA123","UQA123","11000ARZ201512113915","11000NTC201501227391","제3종일반주거지역","11000"," ","2019-12-15 00:00:00.0","19283.36360687","614.86464334"
"172362","11000UQ111PS201912150038","UQA100","UQA120","UQA124","UQA124","11000ARZ201311264567","11000NTC201304046805","제2종일반주거지역(7층이하)","11000"," ","2019-12-15 00:00:00.0","44.06998980","38.68569658"
"172363","11000UQ111PS201912154425","UQA100","UQA120","UQA123","UQA123","11000ARZ000000001111"," ","제3종일반주거지역","11000"," ","2019-12-15 00:00:00.0","76093.25914755","2003.79547202"
"172364","11000UQ111PS201912153518","UQA100","UQA120","UQA123","UQA123","11000ARZ201601153927","11000NTC201212216707","제3종일반주거지역","11000"," ","2019-12-15 00:00:00.0","104789.47654053","1998.06122095"
"172365","11000UQ111PS201912153784","UQA100","UQA120","UQA123","UQA123","11000ARZ000000001111"," ","제3종일반주거지역","11000"," ","2019-12-15 00:00:00.0","3828.46653244","248.99383668"
"172366","11000UQ111PS201912154717","UQA100","UQA130"," ","UQA130","11000ARZ200910294908","11000NTC200205082511","준주거지역","11000"," ","2019-12-15 00:00:00.0","73143.15920790","3979.94931691"
"172367","11000UQ111PS201912154721","UQA100","UQA130"," ","UQA130","11000ARZ199512010143","11000NTC199512015621","준주거지역","11000"," ","2019-12-15 00:00:00.0","40406.47016082","1149.00819786"
"172368","11000UQ111PS201912154525","UQA100","UQA130"," ","UQA130","11000ARZ000000001111"," ","준주거지역","11000"," ","2019-12-15 00:00:00.0","2616.26175343","467.62925946"
"172369","11000UQ111PS201912154529","UQA100","UQA130"," ","UQA130","11000ARZ000000001111"," ","준주거지역","11000"," ","2019-12-15 00:00:00.0","212.17796993","158.13731543"
"172370","11000UQ111PS201912156341","UQA400","UQA430"," ","UQA430","11000ARZ200901225711","11000NTC200812302580","자연녹지지역","11000"," ","2019-12-15 00:00:00.0","22927.04757236","916.66047864"
"172371","11000UQ111PS201912156342","UQA400","UQA430"," ","UQA430","11000ARZ000000001111"," ","자연녹지지역","11000"," ","2019-12-15 00:00:00.0","30479.37798733","1030.07035078"
"172372","11000UQ111PS201912156389","UQA400","UQA430"," ","UQA430","11000ARZ000000001111"," ","자연녹지지역","11000"," ","2019-12-15 00:00:00.0","10206.58407781","524.81771850"
"172373","11000UQ111PS201912156390","UQA400","UQA430"," ","UQA430","11000ARZ000000001111"," ","자연녹지지역","11000"," ","2019-12-15 00:00:00.0","10000.25103748","615.03948546"
"172374","11000UQ111PS201912156391","UQA400","UQA430"," ","UQA430","11000ARZ000000001111"," ","자연녹지지역","11000"," ","2019-12-15 00:00:00.0","119.37499707","124.63126249"
"172375","11000UQ111PS201912156392","UQA400","UQA430"," ","UQA430","11000ARZ000000001111"," ","자연녹지지역","11000"," ","2019-12-15 00:00:00.0","414.77784362","217.60201697"
"172376","11000UQ111PS201912156393","UQA400","UQA430"," ","UQA430","11000ARZ000000001111"," ","자연녹지지역","11000"," ","2019-12-15 00:00:00.0","54.74200177","48.19647887"
"172377","11000UQ111PS201912154752","UQA100","UQA130"," ","UQA130","11000ARZ199707160511","11000NTC199707167106","준주거지역","11000"," ","2019-12-15 00:00:00.0","24917.89943022","960.24129318"
"172378","11000UQ111PS201912154821","UQA100","UQA130"," ","UQA130","11000ARZ201909170036","11000NTC201909051097","준주거지역","11000"," ","2019-12-15 00:00:00.0","1785.37173724","169.96882151"
"172379","11000UQ111PS201912154823","UQA100","UQA130"," ","UQA130","11000ARZ201909260103","11000NTC201908291116","준주거지역","11000"," ","2019-12-15 00:00:00.0","242544.34539250","6711.66386296"
"172380","11000UQ111PS201912154828","UQA100","UQA130"," ","UQA130","11000ARZ201910010154","11000NTC201906241016","준주거지역","11000"," ","2019-12-15 00:00:00.0","12049.66782865","655.32276220"
"172381","11000UQ111PS201912154413","UQA100","UQA130"," ","UQA130","11000ARZ201811060053","11000NTC201808230004","준주거지역","11000"," ","2019-12-15 00:00:00.0","95963.38601828","4064.41642129"
"172382","11000UQ111PS201912154414","UQA100","UQA130"," ","UQA130","11000ARZ000000001111"," ","준주거지역","11000"," ","2019-12-15 00:00:00.0","29055.75433789","1310.45089213"
"172383","11000UQ111PS201912154415","UQA100","UQA130"," ","UQA130","11000ARZ200911044915","11000NTC200701180707","준주거지역","11000"," ","2019-12-15 00:00:00.0","23372.86496242","1053.65221809"
"172384","11000UQ111PS201912153156","UQA100","UQA130"," ","UQA130","11000ARZ000000001111"," ","준주거지역","11000"," ","2019-12-15 00:00:00.0","25092.53430395","676.60591245"
"172385","11000UQ111PS201912153157","UQA100","UQA130"," ","UQA130","11000ARZ200002090437","11000NTC200002099377","준주거지역","11000"," ","2019-12-15 00:00:00.0","35054.36624531","1312.71861688"
"172386","11000UQ111PS201912153456","UQA100","UQA130"," ","UQA130","11000ARZ201205115060","11000NTC201201126381","준주거지역","11000"," ","2019-12-15 00:00:00.0","25302.98552480","969.26135736"
"172387","11000UQ111PS201912153678","UQA100","UQA130"," ","UQA130","11000ARZ000000001111"," ","준주거지역","11000"," ","2019-12-15 00:00:00.0","56133.05711241","2033.25817445"
"172388","11380UQ111PS202004290002","UQA100","UQA120","UQA122","UQA122","11380ARZ202004220001","11380NTC202004220001","제2종일반주거지역","11380"," ","2020-04-29 00:00:00.0","104036.88734617","1665.90798493"
"172389","11380UQ111PS201911270090","UQA100","UQA120","UQA122","UQA122","11000ARZ201911150001","11380NTC201911150001","제2종일반주거지역","11380"," ","2019-11-27 00:00:00.0","23657.97568255","1010.32695788"
"172390","11000UQ111PS202001290002","UQA100","UQA120","UQA122","UQA122","11000ARZ202001280003","11000NTC202001280021","제2종일반주거지역","11000"," ","2020-01-29 00:00:00.0","115.95225176","79.26725931"
"172391","11590UQ111PS202004220002","UQA100","UQA120","UQA122","UQA122","11590ARZ202003200008","11590NTC202003200003","2종일반주거지역","11590"," ","2020-04-22 00:00:00.0","448019.90279549","11005.28470951"
"172392","11440UQ111PS202005140001","UQA100","UQA120","UQA122","UQA122","11440ARZ202003050001","11440NTC202005140004","제2종일반주거지역","11440"," ","2020-05-14 00:00:00.0","60630.52721579","1356.79486345"
"172393","11000UQ111PS201910160128","UQA100","UQA120","UQA122","UQA122","11000ARZ201905210171","11230NTC201905210004","제2종일반주거지역","11230"," ","2019-10-16 00:00:00.0","35291.91355313","1057.81263466"
"172394","11000UQ111PS202005206614","UQA100","UQA120","UQA122","UQA122","11000ARZ201711160003","11000NTC201711168338","제2종일반주거지역","11000"," ","2020-05-20 00:00:00.0","6342.39541552","466.31703622"
"172395","11000UQ111PS201912154799","UQA100","UQA120","UQA122","UQA122","11000ARZ000000001111"," ","제2종일반주거지역","11000"," ","2019-12-15 00:00:00.0","447290.34449157","9095.50231132"
"172396","11000UQ111PS201912155405","UQA100","UQA120","UQA123","UQA123","11000ARZ000000001111"," ","제3종일반주거지역","11000"," ","2019-12-15 00:00:00.0","272084.84757327","4011.37107395"
"172397","11000UQ111PS201912155591","UQA100","UQA120","UQA123","UQA123","11000ARZ201809270150","11000NTC201711160001","제3종일반주거지역","11000"," ","2019-12-15 00:00:00.0","14593.85514654","878.90119743"
"172398","11000UQ111PS201912155572","UQA100","UQA120","UQA123","UQA123","11000ARZ000000001111"," ","제3종일반주거지역","11000"," ","2019-12-15 00:00:00.0","3766.67889766","341.21225565"
"172399","11000UQ111PS201912155573","UQA100","UQA120","UQA123","UQA123","11000ARZ000000001111"," ","제3종일반주거지역","11000"," ","2019-12-15 00:00:00.0","6383.97030786","354.37982798"
"172400","11000UQ111PS201912155609","UQA100","UQA120","UQA123","UQA123","11000ARZ201811090060","11000NTC201711020001","제3종일반주거지역","11000"," ","2019-12-15 00:00:00.0","81217.23018208","3729.24814630"
